Pavadinimas,Kortel?s Nr.,Inv. Nr.,"Vert?, Eur","Sukauptas nusid?v?jimas, Eur","Likutin? vert?, Eur",Kiekis m2
Tilž?s g.61a-21,0765,120261,"13,909.71","2,444.85","11,464.86",34.86
Tilž?s g.61a-22,0766,120262,"17,343.80","3,048.44","14,295.36",43.47
Tilž?s g.61a-23,0767,120263,"17,033.09","2,993.88","14,039.21",42.69
Tilž?s g.61a-24,0768,120264,"21,310.99","3,745.98","17,565.01",53.41
Tilž?s g. 61a-25,0769,120265,"22,655.19","3,990.10","18,665.09",56.78
Tilž?s g.61b-5,0770,120266,"13,337.84","2,538.27","10,799.57",38.21
Tilž?s g.61b-11,0771,120268,"18,865.34","3,605.90","15,259.44",54.04
Tilž?s g.61b-20,0772,120271,"18,749.46","3,586.50","15,162.96",53.70
Tilž?s g  61c-2,0773,120272,"19,854.44","3,896.45","15,957.99",53.12
Tilž?s g.61c-8,0774,120273,"21,109.78","4,148.00","16,961.78",68.58
Gardino g.15-17,0775,120274,"7,971.74","1,270.78","6,700.96",36.23
Dain? g.18-28,0776,120275,33.27,8.43,24.84,67.02
Korsako g.11-5,0777,120279,29.34,6.45,22.89,36.03
"Korsako g,20-24",0778,120281,54.03,11.18,42.85,50.22
Gytari? g.7-8,0779,120282,31.35,4.41,26.94,33.49
Gytari? g.13-24,0780,120283,40.05,8.51,31.54,50.41
Geguži? g.15-32,0781,120284,17.33,4.83,12.50,44.28
Geguži? g.15-81,0782,120285,17.28,4.88,12.40,44.03
Geguži? g.15-88,0783,120287,18.60,5.35,13.25,47.53
Geguži? g.17-19,0784,120288,19.96,5.76,14.20,46.98
"Geguži? g,17-35",0785,120290,17.60,5.12,12.48,44.23
Geguži? g.25-51,0786,120291,25.22,7.20,18.02,61.73
Geguži? g.35-25,0788,120293,19.82,6.29,13.53,33.02
Geguži? g.35-51,0789,120294,19.65,6.00,13.65,32.75
Geguži? g.35-76,0790,120295,20.02,6.30,13.72,33.37
Geguži? g.35-85,0791,120296,19.81,6.27,13.54,33.18
Geguži? g.37-70,0792,120297,28.31,8.81,19.50,49.83
Geguži? g.48-90,0793,120298,35.55,8.06,27.49,64.61
Geguži? g.56-20,0794,120299,25.24,5.79,19.45,36.15
Geguži? g.76-39,0796,120301,35.36,7.61,27.75,39.92
Geguži? g.92-9,0797,120302,400.54,80.22,320.32,85.59
Gytari? g.43-31,0798,120304,683.03,135.75,547.28,53.00
Gytari? g.43-44,0799,120305,683.03,135.75,547.28,49.94
Gytari? g.43-5,0800,120306,491.87,97.21,394.66,36.19
Geguži? g.41-32,0801,120308,34.50,8.82,25.68,50.96
Geguži? g.52-61,0802,120309,27.72,8.01,19.71,31.62
Geguži? g.58-64,0803,120310,31.79,9.23,22.56,36.00
Geguži? g.60-44,0804,120311,27.73,6.13,21.60,50.20
Geguži? g.64-10,0805,120312,26.63,5.86,20.77,31.55
Korsako g.20-26,0807,120315,53.99,11.31,42.68,50.18
Korsako g.53-28,0808,120316,41.64,9.05,32.59,50.49
Korsako g.105-10,0810,120320,15.77,9.14,6.63,66.69
Kvie?i? g.16-1,0811,120321,"2,805.53",554.47,"2,251.06",87.05
Kvie?i? g.16-2,0812,120322,"2,077.15",410.55,"1,666.60",64.45
